acquiesce-съгласявамсе,подчинявам се
benevolent-благодушен,доброжелателен
convoluted-заплетен,сложен
disparage-обезценявам,надувам
epitome-воплъщение,олицетворение
frivolous-лекомислен,несериозен
garrulous-бъбрив,пратотоен
hackneyed-износен,изчерпан
inscrutable-неразгадаем,труден за разбиране
judicious-разсъдлив,разумен
kudos-похвала,признание
languid-мързелив,безжизнен
magnanimous-великодушен,щедър
nonchalant-безгрижен,небрежен
obsequious-подлеп,угоднически
perfunctory-формален,безучастен
quixotic-наивен,идеалистичен
reticent-мълчалив,сдържан
superfluous-излишен,излишествен
transcendent-превъзходен,надминаващ
ubiquitous-вездесъщ,присъстващ на всякъде,повсеместен
verbose-многословен,празнословен
wistful-тъжен,задушен
yearning-копнеж,желание
zealous-ревностен,усърден
adversary-противник,опонент
benevolent-благодушен,доброжелателен
cogent-убедителен,логичен
diligent-прилежен,отдаден
Eclectic-еклектичен,разнороден
fervent-пламенен,страстен
gregarious-дружелюбен,общителен
harbinger-предвестник,вестител
insidious-коварен,злонамерен
jocular-забавен,весел
kinetic-кинетичен,движещ се
loquacious-многословен,бъбрив
meticulous-дреболиен,внимателен
nefarious-нечестив,лош
obdurate-упорит,непреклонен
perfidious-коварен,предателски
